model,family,decoding,Q,A_true,A_pred,label,error_type,is_empty,token_repeat,phrase_repeat,copy_from_q,rougeL,pred_len
베이스라인 (30ep),베이스라인,beam5,봄이 왔으면 좋겠어,봄은 항상 두근거려요.,좋은 수 있을 거예요.,0,명백한 결함 없음,False,False,False,False,0.1818181818181818,6
베이스라인 (30ep),베이스라인,beam5,격려가 필요해.,잘하실 거예요!,그럴 수 있어요.,0,표면 불일치,False,False,False,False,0.0,4
베이스라인 (30ep),베이스라인,beam5,상처가 빨리 나았으면좋겠다,금방 낫고 새 살이 돋을 거예요.,좋은 수 있을 거예요.,1,명백한 결함 없음,False,False,False,False,0.4,6
베이스라인 (30ep),베이스라인,beam5,판도라의 상자를 연 기분,마음의 준비를 하세요.,몰라요.,0,명백한 결함 없음,False,False,False,False,0.25,2
베이스라인 (30ep),베이스라인,beam5,이제는 먼저 놓아줄까 합니다,충분한 고민 끝의 결정일 거라 믿어요.,좋은 사람 거예요.,1,명백한 결함 없음,False,False,False,False,0.26666666666666666,5
베이스라인 (30ep),베이스라인,beam5,우산 또 사야하나,다음에는 우산에 이름이랑 연락처를 적어보세요.,좋은 거예요.,0,명백한 결함 없음,False,False,False,False,0.13333333333333333,4
베이스라인 (30ep),베이스라인,beam5,기념일 다 챙기는거 귀찮아,기념일 챙겨주면 좋아할거예요.,수 있을 거예요.,0,명백한 결함 없음,False,False,False,False,0.22222222222222224,5
베이스라인 (30ep),베이스라인,beam5,난 여자인데 남자를 좋아하는게 맞는지 모르겠어.,헷갈릴 때가 있죠.,거 같아요.,2,명백한 결함 없음,False,False,False,False,0.25,3
베이스라인 (30ep),베이스라인,beam5,군인입니다 환승이별.,환승은 진짜 예의가 없네요.,좋은 거예요.,1,명백한 결함 없음,False,False,False,False,0.18181818181818182,4
베이스라인 (30ep),베이스라인,beam5,만족할 줄을 몰라,만족하면 발전이 없으니까요.,게 좋죠.,0,명백한 결함 없음,False,False,False,False,0.2222222222222222,3
베이스라인 (30ep),베이스라인,beam5,우연히 또 만났어,우연이 필연이 되기도 합니다.,하세요.,0,명백한 결함 없음,False,False,False,False,0.22222222222222224,2
