model,family,decoding,Q,A_true,A_pred,label,error_type,is_empty,token_repeat,phrase_repeat,copy_from_q,rougeL,pred_len
베이스라인 (30ep),베이스라인,beam5,성형할까,돈 많이 들텐데요.,제가 있잖아요.,0,명백한 결함 없음,False,False,False,False,0.25,4
베이스라인 (30ep),베이스라인,beam5,나도 커플룩 입고 싶다,커플부터 만드세요.,좋아요.,0,명백한 결함 없음,False,False,False,False,0.3333333333333333,2
베이스라인 (30ep),베이스라인,beam5,불안해,두려워하지 않아도 돼요.,해보세요.,0,명백한 결함 없음,False,False,False,False,0.3333333333333333,2
베이스라인 (30ep),베이스라인,beam5,알바구함,하고 싶은 알바 지원해보세요.,중요하지 않아요.,0,명백한 결함 없음,False,False,False,False,0.2222222222222222,3
베이스라인 (30ep),베이스라인,beam5,뭐 좀 배워볼까봐,배우는 건 항상 즐거운 일이에요.,좋은 물어보세요.,0,명백한 결함 없음,False,False,False,False,0.2,3
베이스라인 (30ep),베이스라인,beam5,죽을만큼 보고싶다.,많이 사랑했나봐요.,하세요.,1,명백한 결함 없음,False,False,False,False,0.28571428571428575,2
베이스라인 (30ep),베이스라인,beam5,맥주 마셔야지,적당히 드세요.,좋은네요.,0,명백한 결함 없음,False,False,False,False,0.28571428571428575,4
베이스라인 (30ep),베이스라인,beam5,혼수 얼마나 들까?,사람 마다 달라요.,잘 될 거예요.,0,명백한 결함 없음,False,False,False,False,0.20000000000000004,5
베이스라인 (30ep),베이스라인,beam5,나 천재 같아,제가 따라가려면 멀었네요.,제가 있잖아요.,0,명백한 결함 없음,False,False,False,False,0.6666666666666665,4
베이스라인 (30ep),베이스라인,beam5,시원섭섭하지만 후련하네.,한결 나아졌길 바랄게요.,말해보세요.,1,명백한 결함 없음,False,False,False,False,0.28571428571428575,3
베이스라인 (30ep),베이스라인,beam5,이혼,쉽지 않은 결정이죠.,잘 될 거예요.,1,명백한 결함 없음,False,False,False,False,0.1818181818181818,5
베이스라인 (30ep),베이스라인,beam5,한 사람만 죽을 때까지 사랑하는 게 가능할까?,그러기 힘들어서 결혼이라는 제도를 만든 걸 수도 있어요.,게 좋을 것 같아요.,2,명백한 결함 없음,False,False,False,False,0.12500000000000003,5
베이스라인 (30ep),베이스라인,beam5,썸 타다 깨졌는데 다시 연락해도 되나.,감정에 확신이 있다면 연락해보세요.,좋은 좋을 것 같아요.,2,명백한 결함 없음,False,False,False,False,0.15384615384615385,5
베이스라인 (30ep),베이스라인,beam5,날씨가 너무 추워,집밖에 나가기가 힘들것 같아요.,제가 있잖아요.,0,명백한 결함 없음,False,False,False,False,0.2,4
베이스라인 (30ep),베이스라인,beam5,내일로 꼭 헤어진지 1년째네,헤어진 기념일 따지지 마세요.,잘 될 거예요.,1,명백한 결함 없음,False,False,False,False,0.20000000000000004,5
베이스라인 (30ep),베이스라인,beam5,소오름 쫙,좋은 일이길 바랍니다.,해보세요.,0,명백한 결함 없음,False,False,False,False,0.28571428571428575,2
베이스라인 (30ep),베이스라인,beam5,오랜만에 결혼한 친구 만나고 왔는데.,소식을 들었나봐요.,잘 될 거예요.,1,명백한 결함 없음,False,False,False,False,0.20000000000000004,5
베이스라인 (30ep),베이스라인,beam5,약속을 계속 미루는 썸남,약속을 소홀히 생각하는 사람은 믿음직스럽지 못해요.,좋은하세요.,2,명백한 결함 없음,False,False,False,False,0.125,3
베이스라인 (30ep),베이스라인,beam5,빨리 찾아온 사랑,인생은 타이밍이에요.,잘 될 거예요.,2,명백한 결함 없음,False,False,False,False,0.20000000000000004,5
베이스라인 (30ep),베이스라인,beam5,"보고싶다, 목소리라도 듣고싶어",전화하지마요.,잘 될 거예요.,1,명백한 결함 없음,False,False,False,False,0.22222222222222224,5
베이스라인 (30ep),베이스라인,beam5,헤어지고 4달째,많은 시간이 흘렀네요.,해보세요.,1,명백한 결함 없음,False,False,False,False,0.28571428571428575,2
베이스라인 (30ep),베이스라인,beam5,우리집 망했다,철 들고 공부하세요.,해보세요.,0,명백한 결함 없음,False,False,False,False,0.28571428571428575,2
베이스라인 (30ep),베이스라인,beam5,인연이었다던 그사람,또 다른 인연이 있기 마련이죠.,게 좋을 거 같아요.,1,명백한 결함 없음,False,False,False,False,0.14285714285714285,5
베이스라인 (30ep),베이스라인,beam5,2주동안 참을만 했는데,잘 참았어요.,잘 될 거예요.,1,명백한 결함 없음,False,False,False,False,0.5,5
베이스라인 (30ep),베이스라인,beam5,좋아하는 여자애한테 어떻게 관심 표현하는지 조언 좀.,그녀의 관심사에 호감을 드러내세요.,마음이 거예요.,2,명백한 결함 없음,False,False,False,False,0.15384615384615385,5
베이스라인 (30ep),베이스라인,beam5,일어나자마자 우울,달콤한 차라도 한 잔 해보세요.,해보세요.,1,명백한 결함 없음,False,False,False,False,0.4444444444444445,2
베이스라인 (30ep),베이스라인,beam5,헤어지고 다시 만나고 하다 결국 이별,헤어짐에 무뎌지지 않죠.,좋은네요.,1,명백한 결함 없음,False,False,False,False,0.2,4
베이스라인 (30ep),베이스라인,beam5,마음을 보여 주고 싶어.,그래서 표현이 중요해요.,잘 될 거예요.,0,명백한 결함 없음,False,False,False,False,0.20000000000000004,5
베이스라인 (30ep),베이스라인,beam5,제가 좋아하던 사람이 절 좋아하면 갑자기 거부감 들고 싫어져요.,어떤 트라우마가 있었는지도 모르겠어요.,그런 사람 마세요.,2,명백한 결함 없음,False,False,False,False,0.2,4
